id_contrat,age_assure,anciennete_mois,garantie,nb_contrats_foyer,canal_souscription,mode_paiement,prime_annuelle,hausse_prime_pct,nb_sinistres_3ans,delai_reglement_moyen_jours,satisfaction_reglement,nb_contacts_reclamation_1an,nb_contacts_conseil_1an,score_nps,digital_engagement,resiliation
C100021,35,22,Multi-garanties,3,Courtier,Mensuel,345.95,1.8,2,6.6,6.9,0,0,8.0,1,0
C100022,63,38,Auto+Habitation,2,Conseiller téléphonique,Mensuel,363.06,2.1,1,20.7,6.5,1,2,3.6,1,0
C100023,43,6,Auto+Habitation,4,Comparateur en ligne,Mensuel,576.93,0.1,0,,,1,0,3.7,0,0
C100024,39,20,Auto,3,Site web direct,Annuel,294.83,7.3,0,,,0,1,3.3,1,0
C100025,40,47,Auto+Habitation,1,Agence,Annuel,766.06,1.1,0,,,0,2,7.4,0,0
C100026,53,46,Auto+Habitation,1,Agence,Mensuel,319.16,16.7,0,,,1,2,6.8,1,0
C100027,50,28,Auto,2,Site web direct,Annuel,814.96,1.7,0,,,0,1,7.9,1,0
C100028,51,36,Habitation,2,Agence,Annuel,150.0,0.5,0,,,1,0,8.4,1,0
C100029,51,65,Santé,2,Agence,Mensuel,463.94,2.6,1,7.6,7.6,0,1,8.2,0,0
C100030,77,33,Habitation,2,Courtier,Trimestriel,791.34,2.1,0,,,0,0,4.0,0,0
C100031,39,53,Auto,4,Comparateur en ligne,Annuel,546.63,5.0,1,9.1,9.3,0,2,6.4,1,0
C100032,37,25,Multi-garanties,1,Conseiller téléphonique,Annuel,402.01,10.1,1,23.7,5.2,1,1,2.1,0,1
C100033,33,38,Habitation,1,Comparateur en ligne,Annuel,162.7,9.3,0,,,1,0,7.3,1,0
C100034,54,5,Habitation,3,Site web direct,Mensuel,537.07,-0.9,0,,,0,0,4.9,1,0
C100035,62,26,Habitation,3,Conseiller téléphonique,Mensuel,150.0,1.2,0,,,0,1,7.9,1,0
C100036,43,41,Santé,1,Site web direct,Mensuel,634.2,2.6,2,28.1,7.5,0,0,7.9,1,0
C100037,32,36,Santé,3,Site web direct,Mensuel,681.55,7.9,2,38.5,5.2,0,0,7.0,1,0
C100038,33,24,Auto+Habitation,3,Agence,Trimestriel,740.83,-1.1,2,8.3,7.8,1,1,8.0,0,0
C100039,55,16,Santé,1,Conseiller téléphonique,Annuel,210.03,-4.7,2,27.5,5.0,0,0,4.9,0,0
C100040,56,42,Multi-garanties,1,Site web direct,Mensuel,440.2,-0.5,0,,,1,0,7.9,0,0
C100041,53,35,Santé,2,Courtier,Mensuel,674.63,-2.1,1,30.8,7.1,0,1,4.9,0,0
C100042,35,49,Habitation,2,Agence,Mensuel,329.84,2.6,0,,,1,1,8.9,1,1
C100043,48,22,Auto+Habitation,2,Comparateur en ligne,Annuel,342.92,8.6,2,32.0,4.0,0,1,3.7,1,0
C100044,47,58,Auto,1,Conseiller téléphonique,Mensuel,1331.22,4.4,0,,,0,0,8.5,1,0
C100045,48,14,Santé,2,Site web direct,Mensuel,704.56,0.8,2,29.0,4.8,1,0,2.7,1,0
C100046,58,10,Habitation,4,Site web direct,Mensuel,799.08,4.7,0,,,0,2,3.0,0,0
C100047,48,89,Auto,1,Courtier,Mensuel,638.52,14.3,0,,,0,1,9.7,1,0
C100048,55,15,Habitation,1,Site web direct,Annuel,150.0,17.7,0,,,0,1,4.4,0,0
C100049,46,43,Santé,2,Courtier,Mensuel,338.3,-3.2,3,14.0,4.2,0,0,8.5,0,0
C100050,49,31,Multi-garanties,1,Courtier,Mensuel,704.96,-5.0,0,,,1,0,7.8,1,0
C100051,54,90,Santé,1,Comparateur en ligne,Mensuel,563.34,1.2,1,21.6,5.8,0,1,7.2,1,0
C100052,23,60,Habitation,1,Agence,Annuel,725.21,9.9,0,,,1,1,8.0,1,0
C100053,40,10,Auto+Habitation,1,Agence,Mensuel,664.08,8.7,2,52.1,5.7,2,0,4.5,1,1
C100054,38,109,Auto,2,Agence,Annuel,285.18,3.7,0,,,0,1,9.4,1,0
C100055,35,75,Auto,1,Site web direct,Mensuel,264.27,5.7,1,14.6,4.9,0,1,8.9,1,0
C100056,41,28,Habitation,2,Site web direct,Annuel,989.46,8.1,1,31.4,4.9,0,0,8.8,0,1
C100057,67,14,Auto,3,Agence,Trimestriel,766.4,4.2,0,,,0,3,5.4,0,0
C100058,32,45,Habitation,2,Agence,Mensuel,509.93,4.9,0,,,0,1,10.0,1,0
C100059,60,47,Auto,3,Conseiller téléphonique,Trimestriel,622.38,3.5,0,,,0,3,3.4,1,0
C100060,20,6,Auto,1,Agence,Annuel,498.3,11.5,0,,,0,1,6.1,1,0
C100061,40,43,Auto,4,Courtier,Annuel,240.4,6.8,0,,,0,1,5.0,1,0
C100062,47,71,Auto,1,Agence,Mensuel,298.76,3.4,1,29.9,4.1,0,0,5.9,1,1
C100063,54,41,Santé,2,Comparateur en ligne,Mensuel,619.22,6.3,1,32.6,4.9,2,0,7.7,1,0
C100064,56,36,Auto,2,Comparateur en ligne,Trimestriel,499.0,13.3,1,23.2,5.7,0,0,4.5,1,0
C100065,57,33,Santé,1,Site web direct,Annuel,448.17,2.9,2,3.0,8.4,0,1,6.5,1,0
C100066,40,19,Santé,1,Comparateur en ligne,Annuel,381.81,-0.3,0,,,1,1,6.4,0,1
C100067,38,81,Santé,1,Comparateur en ligne,Mensuel,367.34,-5.0,0,,,0,4,6.6,0,0
C100068,58,29,Santé,3,Courtier,Annuel,467.71,9.9,1,26.6,5.4,0,0,6.7,0,0
C100069,42,45,Habitation,1,Comparateur en ligne,Annuel,955.59,0.7,0,,,0,0,6.1,1,0
C100070,26,11,Santé,2,Comparateur en ligne,Mensuel,1168.35,15.0,3,19.2,8.1,0,0,7.0,1,0
C100071,28,35,Auto,1,Courtier,Mensuel,1604.81,6.3,0,,,1,0,8.3,1,0
C100072,31,55,Auto,2,Site web direct,Mensuel,1285.8,3.9,0,,,1,2,3.0,1,0
C100073,52,28,Santé,1,Agence,Mensuel,576.72,6.1,1,7.1,7.4,1,1,4.5,0,0
C100074,47,29,Auto+Habitation,1,Agence,Mensuel,358.81,0.4,1,10.9,5.9,1,1,4.1,0,0
C100075,55,38,Habitation,2,Site web direct,Annuel,377.17,9.8,1,25.2,3.9,0,0,6.7,0,0
C100076,39,53,Auto,3,Conseiller téléphonique,Trimestriel,550.58,0.7,1,35.6,4.5,0,1,5.3,0,0
C100077,47,42,Auto,4,Site web direct,Mensuel,395.81,6.8,0,,,0,1,6.3,1,0
C100078,54,135,Auto,3,Courtier,Annuel,150.0,12.9,1,41.5,2.6,0,2,10.0,0,0
C100079,40,89,Multi-garanties,1,Site web direct,Trimestriel,339.66,5.2,3,30.3,7.4,1,0,5.8,1,0
C100080,52,24,Habitation,1,Comparateur en ligne,Mensuel,275.18,12.7,1,26.0,6.9,0,2,6.8,0,0
C100081,35,78,Auto+Habitation,1,Courtier,Trimestriel,584.71,-0.6,1,35.0,0.9,0,0,6.1,1,0
C100082,40,6,Multi-garanties,4,Comparateur en ligne,Mensuel,398.69,15.6,0,,,0,0,7.1,0,0
C100083,39,30,Habitation,4,Courtier,Trimestriel,674.13,8.8,0,,,0,3,8.9,1,0
C100084,27,9,Habitation,4,Courtier,Mensuel,590.08,0.5,0,,,1,1,8.8,1,0
C100085,52,58,Habitation,2,Comparateur en ligne,Trimestriel,174.61,1.5,0,,,1,0,8.1,0,1
C100086,38,28,Santé,1,Agence,Annuel,698.09,7.7,2,25.9,6.4,0,0,5.5,1,0
C100087,45,13,Auto,3,Conseiller téléphonique,Mensuel,417.01,12.6,0,,,2,0,2.3,0,1
C100088,52,66,Habitation,3,Site web direct,Mensuel,440.62,12.6,0,,,0,0,5.8,1,0
C100089,52,15,Auto,1,Conseiller téléphonique,Mensuel,499.01,-0.1,1,41.2,8.1,0,3,10.0,1,0
C100090,55,62,Habitation,1,Comparateur en ligne,Annuel,528.11,-1.7,0,,,0,0,9.7,0,0
C100091,44,46,Auto,4,Comparateur en ligne,Annuel,167.99,-0.4,0,,,1,0,7.3,0,0
C100092,39,33,Santé,2,Agence,Mensuel,611.77,2.6,1,40.5,5.2,1,0,6.3,0,1
C100093,44,72,Auto,4,Comparateur en ligne,Mensuel,201.47,8.6,1,9.6,5.2,0,1,8.1,0,0
C100094,20,18,Auto+Habitation,2,Conseiller téléphonique,Annuel,179.17,15.5,0,,,0,1,7.5,0,0
C100095,23,7,Habitation,4,Courtier,Annuel,343.67,6.9,1,14.6,6.6,0,0,5.3,1,0
C100096,25,14,Santé,2,Agence,Mensuel,641.29,7.7,0,,,0,0,8.3,0,0
C100097,30,134,Auto,3,Site web direct,Mensuel,277.37,10.0,1,31.0,8.9,1,0,2.3,1,0
C100098,51,20,Santé,2,Comparateur en ligne,Mensuel,529.2,6.3,0,,,0,0,5.7,1,0
C100099,31,27,Auto,3,Site web direct,Mensuel,531.03,-1.5,0,,,1,1,10.0,0,0
C100100,39,103,Santé,1,Conseiller téléphonique,Annuel,585.12,3.4,1,23.1,8.4,1,0,7.8,0,0
C100101,64,27,Habitation,2,Agence,Mensuel,986.92,2.8,0,,,0,1,5.1,0,0
C100102,40,59,Santé,1,Agence,Mensuel,527.32,17.1,0,,,0,1,9.0,0,0
C100103,56,111,Auto,3,Comparateur en ligne,Mensuel,462.81,0.9,0,,,0,0,5.5,1,0
C100104,31,52,Multi-garanties,1,Comparateur en ligne,Mensuel,814.81,9.3,0,,,0,1,6.9,0,0
C100105,42,37,Habitation,1,Agence,Trimestriel,844.7,-4.5,4,30.7,8.3,0,1,9.5,0,0
C100106,31,68,Santé,1,Comparateur en ligne,Mensuel,1254.2,-5.0,3,30.0,5.7,0,0,6.2,1,0
C100107,40,4,Auto,3,Agence,Annuel,400.47,6.0,0,,,0,0,10.0,1,0
C100108,58,27,Santé,1,Comparateur en ligne,Mensuel,231.72,1.7,2,20.8,8.6,0,1,7.0,1,0
C100109,19,90,Multi-garanties,1,Comparateur en ligne,Mensuel,675.18,-1.0,0,,,0,2,8.9,0,1
C100110,52,20,Multi-garanties,2,Agence,Mensuel,508.61,11.9,0,,,1,2,7.2,1,0
C100111,49,42,Auto+Habitation,4,Conseiller téléphonique,Mensuel,696.29,5.0,0,,,1,0,1.8,1,0
C100112,36,59,Habitation,2,Agence,Annuel,413.37,-2.8,0,,,0,2,6.4,1,0
C100113,23,30,Auto,2,Site web direct,Trimestriel,330.07,4.1,0,,,1,2,10.0,1,0
C100114,46,60,Auto,2,Agence,Trimestriel,1139.25,4.5,1,19.7,7.2,0,0,8.7,1,0
C100115,37,46,Auto+Habitation,2,Comparateur en ligne,Mensuel,815.0,4.9,0,,,0,3,5.7,1,0
C100116,48,206,Auto,1,Comparateur en ligne,Mensuel,381.03,5.7,1,9.5,6.7,0,0,6.4,1,0
C100117,45,69,Auto,1,Comparateur en ligne,Mensuel,508.76,13.6,0,,,0,2,7.5,1,0
C100118,69,46,Auto,2,Courtier,Annuel,680.69,12.3,0,,,1,1,9.2,0,0
C100119,41,5,Habitation,1,Site web direct,Annuel,228.89,3.9,0,,,0,0,8.5,0,0
C100120,30,21,Santé,1,Agence,Annuel,371.49,0.1,4,17.7,4.9,0,0,7.8,0,0
C100121,48,15,Santé,2,Comparateur en ligne,Annuel,474.54,10.3,1,38.1,6.4,1,1,9.6,0,1
C100122,48,101,Habitation,1,Conseiller téléphonique,Trimestriel,507.96,0.1,1,35.2,7.2,0,2,7.7,1,0
C100123,65,13,Habitation,3,Conseiller téléphonique,Annuel,1074.51,14.0,1,21.9,4.2,0,0,9.0,1,1
C100124,58,29,Auto+Habitation,3,Agence,Mensuel,366.45,4.6,0,,,1,0,6.0,0,0
C100125,50,50,Auto,3,Comparateur en ligne,Annuel,594.78,5.7,1,11.5,8.5,0,3,5.2,1,0
C100126,67,25,Santé,2,Courtier,Mensuel,290.49,7.1,3,27.0,7.4,0,0,7.2,1,0
C100127,27,28,Santé,3,Comparateur en ligne,Mensuel,454.47,-0.8,2,43.5,2.4,0,0,7.5,1,0
C100128,35,46,Habitation,2,Agence,Mensuel,610.19,4.8,0,,,1,0,5.5,1,0
C100129,31,20,Multi-garanties,4,Agence,Mensuel,584.53,6.6,2,11.3,8.1,0,0,8.1,1,0
C100130,39,42,Auto,2,Agence,Mensuel,589.91,7.3,2,26.0,8.4,0,0,10.0,0,0
C100131,24,66,Auto+Habitation,2,Site web direct,Mensuel,674.74,8.1,1,30.3,6.0,0,1,5.6,1,0
C100132,55,23,Habitation,1,Courtier,Mensuel,323.0,2.2,0,,,0,0,4.9,1,0
C100133,42,15,Auto+Habitation,3,Courtier,Annuel,347.98,7.5,0,,,0,0,8.9,0,0
C100134,23,116,Habitation,2,Courtier,Annuel,250.94,9.5,2,3.0,4.3,0,2,2.6,1,0
C100135,30,117,Auto,2,Courtier,Annuel,461.19,11.2,2,3.9,6.1,0,0,5.6,0,0
C100136,50,36,Santé,1,Comparateur en ligne,Annuel,355.66,-5.0,1,26.2,3.9,0,0,4.3,1,0
C100137,58,41,Multi-garanties,2,Agence,Mensuel,418.61,6.5,0,,,0,0,3.8,0,0
C100138,75,41,Auto,4,Agence,Mensuel,507.99,10.5,1,7.2,5.8,1,2,5.0,1,1
C100139,89,27,Auto+Habitation,4,Comparateur en ligne,Mensuel,962.5,5.0,1,13.2,7.6,0,0,7.9,1,0
C100140,51,35,Santé,4,Agence,Trimestriel,380.21,7.8,1,10.4,7.5,0,0,5.1,0,0
C100141,30,5,Auto+Habitation,4,Comparateur en ligne,Mensuel,524.4,3.4,0,,,0,1,7.0,0,0
C100142,18,11,Auto+Habitation,2,Site web direct,Mensuel,636.79,-3.8,1,26.4,4.0,0,1,8.0,0,0
C100143,49,28,Auto,2,Agence,Mensuel,292.48,-5.0,0,,,0,0,6.6,1,1
C100144,33,23,Habitation,3,Site web direct,Mensuel,180.61,5.2,0,,,1,0,8.2,1,0
C100145,39,12,Santé,2,Conseiller téléphonique,Mensuel,491.71,1.3,2,34.5,5.3,2,0,7.9,0,1
C100146,36,35,Auto+Habitation,1,Agence,Mensuel,1245.3,11.1,0,,,0,0,7.8,0,0
C100147,43,61,Habitation,3,Conseiller téléphonique,Annuel,904.18,12.6,0,,,1,2,1.6,1,0
C100148,61,20,Multi-garanties,1,Courtier,Annuel,750.27,15.3,1,22.8,7.2,1,0,7.4,1,1
C100149,47,46,Auto,1,Courtier,Mensuel,290.09,6.8,2,5.7,7.6,0,0,6.9,0,0
C100150,43,29,Santé,3,Site web direct,Annuel,1043.9,9.6,0,,,0,0,3.0,1,0
C100151,29,68,Santé,3,Site web direct,Mensuel,908.19,0.8,0,,,0,1,5.3,0,0
C100152,20,10,Santé,1,Comparateur en ligne,Annuel,432.42,-2.4,2,18.9,2.2,0,0,7.0,0,0
C100153,38,14,Auto,1,Comparateur en ligne,Annuel,440.39,12.2,2,24.7,6.0,0,1,8.1,0,1
C100154,44,28,Habitation,1,Courtier,Mensuel,1380.0,-2.5,0,,,0,0,10.0,1,0
C100155,72,17,Auto,3,Agence,Trimestriel,522.85,0.1,1,34.5,5.4,0,0,5.5,1,0
C100156,47,83,Santé,1,Conseiller téléphonique,Annuel,1483.44,7.2,0,,,0,2,6.4,1,0
C100157,60,10,Habitation,2,Agence,Mensuel,241.82,-3.6,1,11.5,9.2,0,0,5.3,0,0
C100158,38,27,Auto+Habitation,1,Conseiller téléphonique,Mensuel,635.46,-5.0,2,19.8,7.9,0,0,6.6,1,0
C100159,27,133,Auto,3,Agence,Mensuel,392.34,2.5,0,,,0,0,5.3,0,0
C100160,31,10,Habitation,4,Comparateur en ligne,Mensuel,221.55,3.8,1,33.7,4.8,0,0,3.5,0,0
C100161,34,38,Auto+Habitation,1,Site web direct,Mensuel,472.25,3.6,1,22.9,3.6,0,2,6.7,1,0
C100162,77,29,Santé,1,Comparateur en ligne,Annuel,456.34,3.6,2,23.5,6.1,0,2,4.7,1,1
C100163,33,51,Auto,2,Site web direct,Mensuel,523.15,-1.8,0,,,0,1,5.9,1,0
C100164,58,48,Auto+Habitation,1,Agence,Mensuel,645.24,18.0,2,6.9,10.0,0,3,8.1,0,0
C100165,31,45,Habitation,1,Site web direct,Mensuel,461.91,5.5,1,11.0,6.0,0,1,8.2,1,0
C100166,59,72,Santé,1,Site web direct,Mensuel,699.04,-3.7,2,41.6,4.4,1,1,6.1,0,0
C100167,51,70,Santé,2,Agence,Mensuel,995.21,3.8,1,26.0,8.1,1,0,10.0,1,0
C100168,43,22,Auto,1,Site web direct,Annuel,511.94,-5.0,1,28.9,4.2,1,2,5.5,1,0
C100169,44,22,Santé,1,Courtier,Annuel,556.34,3.3,2,13.1,5.5,0,1,10.0,0,0
C100170,35,59,Santé,2,Conseiller téléphonique,Mensuel,545.38,2.7,1,31.2,3.7,0,0,8.8,1,1
C100171,52,42,Santé,2,Conseiller téléphonique,Mensuel,555.5,0.5,2,18.4,4.7,0,1,7.3,1,0
C100172,38,48,Santé,4,Comparateur en ligne,Mensuel,288.83,9.1,1,20.0,10.0,0,1,5.1,0,0
C100173,27,38,Auto,2,Agence,Annuel,310.66,0.9,2,25.6,6.2,0,1,4.4,0,0
C100174,26,25,Auto,1,Site web direct,Mensuel,551.15,4.6,1,35.3,5.7,0,2,6.8,1,0
C100175,48,57,Auto,1,Comparateur en ligne,Mensuel,665.43,5.5,1,27.4,9.3,0,1,10.0,1,0
C100176,69,19,Auto,2,Agence,Mensuel,150.0,-4.7,0,,,0,2,7.7,0,0
C100177,47,135,Habitation,1,Courtier,Annuel,1329.7,10.5,1,41.7,4.6,0,1,5.3,1,0
C100178,43,126,Auto,4,Conseiller téléphonique,Mensuel,740.69,13.3,0,,,1,0,10.0,1,0
C100179,49,156,Multi-garanties,1,Agence,Mensuel,363.78,3.0,1,23.2,6.3,0,1,4.9,0,0
C100180,65,44,Auto,1,Site web direct,Annuel,1093.33,-5.0,0,,,0,1,6.3,0,0
C100181,48,28,Auto+Habitation,2,Comparateur en ligne,Annuel,700.68,11.8,1,9.5,8.5,0,2,7.0,1,0
C100182,39,97,Habitation,2,Courtier,Trimestriel,563.25,0.1,0,,,1,2,10.0,0,0
C100183,62,39,Santé,2,Agence,Annuel,939.59,10.3,1,27.4,6.2,0,1,10.0,1,0
C100184,51,68,Habitation,1,Comparateur en ligne,Mensuel,608.67,0.3,1,35.0,5.6,0,2,7.6,1,1
C100185,68,68,Multi-garanties,3,Agence,Mensuel,213.86,10.0,1,7.8,8.6,0,1,4.9,1,0
C100186,48,20,Auto,1,Courtier,Mensuel,592.29,4.1,0,,,0,2,7.5,0,0
C100187,27,56,Auto,4,Agence,Mensuel,791.5,11.0,1,28.9,5.9,0,1,7.0,1,0
C100188,24,66,Multi-garanties,2,Agence,Annuel,264.01,-4.8,1,23.3,2.9,1,0,8.1,1,0
C100189,70,35,Habitation,1,Agence,Mensuel,383.61,-1.2,0,,,0,0,2.4,1,0
C100190,71,11,Auto,2,Agence,Mensuel,707.76,7.1,2,26.9,4.8,0,1,10.0,0,0
C100191,42,99,Auto,1,Courtier,Mensuel,326.09,6.8,0,,,0,1,4.5,1,0
C100192,39,133,Auto,1,Conseiller téléphonique,Mensuel,552.54,4.9,1,14.8,4.7,1,1,4.7,1,0
C100193,67,41,Habitation,1,Comparateur en ligne,Mensuel,266.17,0.3,0,,,0,1,6.4,1,0
C100194,28,30,Habitation,2,Courtier,Trimestriel,510.86,6.4,1,23.7,5.1,0,0,5.9,1,0
C100195,32,9,Auto,3,Agence,Mensuel,657.81,9.6,2,13.7,8.5,1,1,10.0,1,1
C100196,55,43,Auto,2,Courtier,Annuel,525.87,2.7,0,,,0,0,6.4,1,0
C100197,39,26,Santé,2,Courtier,Trimestriel,386.93,4.0,0,,,0,0,1.1,0,0
C100198,45,9,Santé,1,Conseiller téléphonique,Mensuel,833.27,6.3,0,,,0,1,8.8,0,0
C100199,43,72,Santé,1,Agence,Mensuel,1252.63,11.1,1,17.0,9.8,0,1,5.6,0,0
C100200,50,58,Auto,1,Site web direct,Mensuel,335.53,6.9,1,17.0,6.8,1,1,9.7,1,0
C100201,66,24,Santé,1,Site web direct,Annuel,485.12,11.0,2,18.9,5.1,0,1,9.6,0,0
C100202,46,116,Auto+Habitation,2,Conseiller téléphonique,Annuel,366.16,10.9,0,,,0,1,5.0,1,1
C100203,55,37,Multi-garanties,1,Site web direct,Mensuel,292.11,4.4,1,15.9,3.8,0,0,7.1,1,0
C100204,18,42,Auto+Habitation,1,Agence,Mensuel,1755.4,-5.0,1,19.1,8.6,1,0,2.3,0,0
C100205,44,33,Auto,2,Agence,Mensuel,652.53,13.3,0,,,2,0,8.8,0,1
C100206,32,79,Multi-garanties,1,Comparateur en ligne,Mensuel,626.07,5.6,1,20.5,7.4,0,0,1.4,1,0
C100207,27,57,Habitation,1,Comparateur en ligne,Trimestriel,683.74,-0.3,2,23.0,8.7,0,0,7.4,1,0
C100208,32,5,Auto,2,Agence,Annuel,836.03,9.9,1,11.6,4.5,0,1,8.2,0,0
C100209,40,39,Habitation,1,Agence,Mensuel,654.88,-0.9,2,10.6,5.6,1,2,5.2,0,0
C100210,59,68,Habitation,1,Comparateur en ligne,Annuel,366.28,9.7,0,,,1,0,7.0,0,0
C100211,25,9,Santé,2,Comparateur en ligne,Annuel,678.07,4.1,0,,,0,0,8.2,1,0
C100212,45,67,Multi-garanties,3,Site web direct,Trimestriel,598.52,3.3,2,36.2,6.3,1,1,7.2,1,0
C100213,38,58,Santé,2,Conseiller téléphonique,Mensuel,718.02,5.5,1,3.0,10.0,0,0,5.5,1,0
C100214,40,16,Santé,1,Site web direct,Annuel,681.0,7.3,1,35.8,4.5,0,0,10.0,1,0
C100215,60,32,Auto,2,Site web direct,Annuel,262.54,3.2,0,,,0,1,9.5,1,0
C100216,53,12,Santé,1,Agence,Mensuel,225.17,0.1,4,3.0,7.3,0,1,10.0,1,0
C100217,65,24,Auto,2,Comparateur en ligne,Mensuel,356.18,2.7,0,,,0,0,1.7,0,1
C100218,43,32,Auto,3,Agence,Mensuel,391.09,0.9,0,,,0,1,4.6,0,0
C100219,35,61,Habitation,1,Site web direct,Annuel,198.38,4.0,1,25.3,7.6,0,2,5.0,1,0
C100220,42,70,Auto+Habitation,3,Comparateur en ligne,Mensuel,789.57,5.7,1,27.2,7.6,1,0,6.1,0,0
C100221,49,46,Auto,1,Courtier,Trimestriel,414.6,-1.7,0,,,0,0,9.9,1,0
C100222,48,30,Auto+Habitation,2,Agence,Mensuel,718.07,3.0,0,,,0,0,5.7,1,0
C100223,29,66,Habitation,1,Conseiller téléphonique,Mensuel,780.25,0.4,1,6.1,5.9,0,1,7.3,0,0
C100224,46,42,Auto,4,Agence,Annuel,365.98,2.8,1,23.1,5.5,0,1,3.9,1,0
C100225,48,50,Santé,2,Conseiller téléphonique,Trimestriel,758.31,7.9,1,3.0,7.6,0,1,5.4,1,0
C100226,83,73,Santé,1,Site web direct,Mensuel,682.23,6.5,1,26.8,3.6,0,1,7.0,1,0
C100227,73,63,Multi-garanties,2,Agence,Trimestriel,269.05,3.4,0,,,0,4,6.9,1,0
C100228,32,49,Habitation,3,Site web direct,Mensuel,235.23,11.3,2,25.9,6.5,0,2,9.1,1,0
C100229,41,57,Auto,2,Conseiller téléphonique,Annuel,921.99,4.8,0,,,0,0,6.8,1,0
C100230,23,24,Habitation,3,Conseiller téléphonique,Trimestriel,775.8,15.1,2,20.3,4.1,0,0,5.3,1,0
C100231,36,21,Auto,1,Site web direct,Mensuel,265.49,10.9,1,11.9,10.0,0,0,7.3,0,0
C100232,50,132,Santé,3,Site web direct,Mensuel,797.89,5.6,1,19.9,8.3,0,0,7.0,0,0
C100233,63,20,Santé,1,Agence,Annuel,421.01,-4.9,2,3.0,8.1,0,0,9.0,0,0
C100234,34,73,Habitation,3,Courtier,Mensuel,150.0,-2.0,0,,,1,0,9.7,1,0
C100235,35,30,Multi-garanties,2,Site web direct,Annuel,686.77,0.3,0,,,2,1,4.3,0,0
C100236,18,61,Auto,1,Conseiller téléphonique,Mensuel,381.87,5.8,2,37.3,3.7,0,0,9.6,1,0
C100237,43,5,Auto,1,Agence,Mensuel,377.69,5.4,0,,,0,0,10.0,1,0
C100238,29,11,Habitation,2,Agence,Mensuel,582.16,1.4,0,,,0,0,3.1,0,0
C100239,37,76,Santé,2,Agence,Mensuel,1035.6,-0.3,1,30.0,5.8,0,0,6.0,0,0
C100240,32,8,Santé,2,Agence,Annuel,730.87,6.9,4,22.6,10.0,1,0,8.6,1,0
C100241,44,24,Santé,2,Conseiller téléphonique,Mensuel,1049.03,3.5,3,35.2,4.2,0,0,8.3,0,0
C100242,19,100,Auto,3,Agence,Annuel,870.01,-2.5,0,,,0,1,4.2,1,0
C100243,23,70,Multi-garanties,3,Comparateur en ligne,Mensuel,471.52,8.6,1,40.1,6.7,0,0,9.3,1,0
C100244,77,29,Auto,2,Site web direct,Annuel,885.77,-5.0,1,16.9,10.0,0,2,7.9,0,0
C100245,26,20,Santé,1,Conseiller téléphonique,Mensuel,725.0,14.8,1,8.9,7.2,0,0,6.1,0,0
C100246,29,110,Santé,2,Agence,Annuel,423.28,0.3,3,25.0,6.4,0,1,5.0,1,0
